instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission,comment
NQ,SELL,1,13989.25,14004.5,2022-03-18 07:12:00,2022-03-18 07:15:35,-305.0,-305.0,4.3,sl1
NQ,SELL,1,13988.0,14004.5,2022-03-18 07:12:00,2022-03-18 07:15:35,-330.0,-635.0,4.3,sl2
NQ,SELL,1,13990.75,13988.0,2022-03-18 07:12:00,2022-03-18 07:28:55,55.0,-580.0,4.3,sl3
NQ,SELL,1,13992.25,13989.75,2022-03-18 07:12:00,2022-03-18 07:29:05,50.0,-530.0,4.3,sl4
NQ,SELL,1,13993.25,14084.5,2022-03-18 07:12:00,2022-03-18 09:45:40,-1825.0,-2355.0,4.3,sl5
NQ,SELL,1,13991.5,14085.0,2022-03-18 07:12:00,2022-03-18 09:45:40,-1870.0,-4225.0,4.3,sl6
NQ,SELL,1,14496.0,14509.25,2022-03-23 13:48:00,2022-03-23 13:48:37,-265.0,-4490.0,4.3,sl1
NQ,SELL,1,14497.25,14523.75,2022-03-23 13:48:00,2022-03-23 13:48:37,-530.0,-5020.0,4.3,sl2
NQ,SELL,1,14495.25,14475.25,2022-03-23 13:48:00,2022-03-23 14:10:25,400.0,-4620.0,4.3,tp3
NQ,SELL,1,14495.75,14491.5,2022-03-23 13:48:00,2022-03-23 14:16:30,85.0,-4535.0,4.3,sl4
NQ,SELL,1,14640.0,14653.5,2022-03-25 15:36:00,2022-03-25 15:36:00,-270.0,-4805.0,4.3,sl1
NQ,SELL,1,14643.0,14653.25,2022-03-25 15:36:00,2022-03-25 15:36:00,-205.0,-5010.0,4.3,sl2
NQ,SELL,1,14646.5,14700.0,2022-03-25 15:36:00,2022-03-25 15:47:00,-1070.0,-6080.0,4.3,sl3
NQ,SELL,1,14649.75,14700.0,2022-03-25 15:36:00,2022-03-25 15:47:00,-1005.0,-7085.0,4.3,sl4
NQ,SELL,1,14651.25,14744.0,2022-03-25 15:36:00,2022-03-25 15:59:10,-1855.0,-8940.0,4.3,sl5
NQ,SELL,1,14654.0,14744.25,2022-03-25 15:36:00,2022-03-25 15:59:10,-1805.0,-10745.0,4.3,sl6
NQ,SELL,1,15125.75,15141.5,2022-03-31 01:48:00,2022-03-31 02:01:15,-315.0,-11060.0,4.3,sl1
NQ,SELL,1,15125.0,15141.5,2022-03-31 01:48:00,2022-03-31 02:01:15,-330.0,-11390.0,4.3,sl2
NQ,SELL,1,15125.25,15172.75,2022-03-31 01:48:00,2022-03-31 03:18:10,-950.0,-12340.0,4.3,sl3
NQ,SELL,1,15125.25,15173.0,2022-03-31 01:48:00,2022-03-31 03:18:10,-955.0,-13295.0,4.3,sl4
NQ,SELL,1,15125.0,15032.0,2022-03-31 01:48:00,2022-03-31 09:34:25,1860.0,-11435.0,4.3,tp5
NQ,SELL,1,15124.5,15015.0,2022-03-31 01:48:00,2022-03-31 09:36:55,2190.0,-9245.0,4.3,tp6
NQ,SELL,1,14995.5,15011.25,2022-03-31 10:12:05,2022-03-31 10:12:05,-315.0,-9560.0,4.3,sl1
NQ,SELL,1,15002.75,15011.25,2022-03-31 10:12:05,2022-03-31 10:12:05,-170.0,-9730.0,4.3,sl2
NQ,SELL,1,15003.5,15051.5,2022-03-31 10:12:05,2022-03-31 10:34:20,-960.0,-10690.0,4.3,sl3
NQ,SELL,1,15011.5,15051.5,2022-03-31 10:12:05,2022-03-31 10:34:20,-800.0,-11490.0,4.3,sl4
NQ,SELL,1,15015.25,14922.25,2022-03-31 10:12:05,2022-03-31 15:54:30,1860.0,-9630.0,4.3,tp5
NQ,SELL,1,15012.0,14905.0,2022-03-31 10:12:05,2022-03-31 15:54:50,2140.0,-7490.0,4.3,tp6
NQ,SELL,1,14905.25,14920.5,2022-03-31 16:12:00,2022-03-31 16:14:45,-305.0,-7795.0,4.3,sl1
NQ,SELL,1,14904.5,14920.5,2022-03-31 16:12:00,2022-03-31 16:14:45,-320.0,-8115.0,4.3,sl2
