instrument,action,qty,price,time,commission,local_id,order_id
NQ,SELL,1,13989.25,2022-03-18 07:12:00,2.15,1,4
NQ,SELL,1,13988.0,2022-03-18 07:12:00,2.15,2,8
NQ,SELL,1,13990.75,2022-03-18 07:12:00,2.15,3,12
NQ,SELL,1,13992.25,2022-03-18 07:12:00,2.15,4,16
NQ,SELL,1,13993.25,2022-03-18 07:12:00,2.15,5,20
NQ,SELL,1,13991.5,2022-03-18 07:12:00,2.15,6,24
NQ,BUY,1,14004.5,2022-03-18 07:15:35,2.15,7,6
NQ,BUY,1,14004.5,2022-03-18 07:15:35,2.15,8,10
NQ,BUY,1,13988.0,2022-03-18 07:28:55,2.15,9,14
NQ,BUY,1,13989.75,2022-03-18 07:29:05,2.15,10,18
NQ,BUY,1,14084.5,2022-03-18 09:45:40,2.15,11,22
NQ,BUY,1,14085.0,2022-03-18 09:45:40,2.15,12,26
NQ,SELL,1,14496.0,2022-03-23 13:48:00,2.15,1,4
NQ,SELL,1,14497.25,2022-03-23 13:48:00,2.15,2,8
NQ,SELL,1,14495.25,2022-03-23 13:48:00,2.15,3,12
NQ,SELL,1,14495.75,2022-03-23 13:48:00,2.15,4,16
NQ,SELL,1,14496.75,2022-03-23 13:48:00,2.15,5,20
NQ,SELL,1,14498.25,2022-03-23 13:48:00,2.15,6,24
NQ,BUY,1,14509.25,2022-03-23 13:48:37,2.15,7,6
NQ,BUY,1,14523.75,2022-03-23 13:48:37,2.15,8,10
NQ,BUY,1,14475.25,2022-03-23 14:10:25,2.15,9,13
NQ,BUY,1,14491.5,2022-03-23 14:16:30,2.15,10,18
NQ,SELL,1,14640.0,2022-03-25 15:36:00,2.15,1,4
NQ,SELL,1,14643.0,2022-03-25 15:36:00,2.15,2,8
NQ,SELL,1,14646.5,2022-03-25 15:36:00,2.15,3,12
NQ,SELL,1,14649.75,2022-03-25 15:36:00,2.15,4,16
NQ,SELL,1,14651.25,2022-03-25 15:36:00,2.15,5,20
NQ,SELL,1,14654.0,2022-03-25 15:36:00,2.15,6,24
NQ,BUY,1,14653.5,2022-03-25 15:36:00,2.15,7,6
NQ,BUY,1,14653.25,2022-03-25 15:36:00,2.15,8,10
NQ,BUY,1,14700.0,2022-03-25 15:47:00,2.15,9,14
NQ,BUY,1,14700.0,2022-03-25 15:47:00,2.15,10,18
NQ,BUY,1,14744.0,2022-03-25 15:59:10,2.15,11,22
NQ,BUY,1,14744.25,2022-03-25 15:59:10,2.15,12,26
NQ,SELL,1,15197.25,2022-03-30 03:36:05,2.15,1,5
NQ,SELL,1,15125.75,2022-03-31 01:48:00,2.15,1,13
NQ,SELL,1,15125.0,2022-03-31 01:48:00,2.15,2,17
NQ,SELL,1,15125.25,2022-03-31 01:48:00,2.15,3,21
NQ,SELL,1,15125.25,2022-03-31 01:48:00,2.15,4,25
NQ,SELL,1,15125.0,2022-03-31 01:48:00,2.15,5,29
NQ,SELL,1,15124.5,2022-03-31 01:48:00,2.15,6,33
NQ,BUY,1,15141.5,2022-03-31 02:01:15,2.15,7,15
NQ,BUY,1,15141.5,2022-03-31 02:01:15,2.15,8,19
NQ,BUY,1,15172.75,2022-03-31 03:18:10,2.15,9,23
NQ,BUY,1,15173.0,2022-03-31 03:18:10,2.15,10,27
NQ,BUY,1,15032.0,2022-03-31 09:34:25,2.15,11,30
NQ,BUY,1,15015.0,2022-03-31 09:36:55,2.15,12,34
NQ,SELL,1,14995.5,2022-03-31 10:12:05,2.15,13,37
NQ,SELL,1,15002.75,2022-03-31 10:12:05,2.15,14,41
NQ,SELL,1,15003.5,2022-03-31 10:12:05,2.15,15,45
NQ,SELL,1,15011.5,2022-03-31 10:12:05,2.15,16,49
NQ,SELL,1,15015.25,2022-03-31 10:12:05,2.15,17,53
NQ,SELL,1,15012.0,2022-03-31 10:12:05,2.15,18,57
NQ,BUY,1,15011.25,2022-03-31 10:12:05,2.15,19,39
NQ,BUY,1,15011.25,2022-03-31 10:12:05,2.15,20,43
