instrument,action,qty,price,time,commission,local_id,order_id
NQ,BUY,1,15934.5,2021-12-21 23:48:00,2.1,1,4
NQ,BUY,1,15932.5,2021-12-22 00:18:00,2.1,1,12
NQ,BUY,1,15933.5,2021-12-22 00:18:00,2.1,2,16
NQ,BUY,1,15938.25,2021-12-22 00:30:05,2.1,1,25
NQ,BUY,1,15937.25,2021-12-22 00:30:05,2.1,2,29
NQ,SELL,1,15937.0,2021-12-22 00:30:05,2.1,3,32
NQ,SELL,1,15938.0,2021-12-22 00:30:05,2.1,4,33
NQ,BUY,1,15938.5,2021-12-22 00:30:24,2.1,5,35
NQ,BUY,1,15940.0,2021-12-22 00:30:24,2.1,6,39
NQ,SELL,1,15942.25,2021-12-22 00:30:24,2.1,7,42
NQ,SELL,1,15942.0,2021-12-22 00:30:24,2.1,8,43
NQ,BUY,1,15943.25,2021-12-22 00:30:41,2.1,9,45
NQ,BUY,1,16490.5,2022-01-03 21:24:00,2.1,1,4
NQ,BUY,1,16491.0,2022-01-03 21:24:00,2.1,2,8
NQ,SELL,1,16491.0,2022-01-03 21:41:45,2.1,3,6
NQ,SELL,1,16497.5,2022-01-03 21:54:05,2.1,4,9
NQ,BUY,1,16498.25,2022-01-03 21:54:10,2.1,5,12
NQ,BUY,1,16498.5,2022-01-03 21:54:10,2.1,6,16
NQ,SELL,1,16503.25,2022-01-03 21:59:25,2.1,7,13
NQ,SELL,1,16505.25,2022-01-03 22:00:10,2.1,8,17
NQ,BUY,1,16506.0,2022-01-03 22:00:15,2.1,9,20
NQ,BUY,1,16506.5,2022-01-03 22:00:15,2.1,10,24
NQ,SELL,1,16501.75,2022-01-03 22:01:15,2.1,11,22
NQ,SELL,1,16501.75,2022-01-03 22:01:15,2.1,12,26
NQ,BUY,1,16500.75,2022-01-03 22:01:22,2.1,13,28
NQ,BUY,1,16501.25,2022-01-03 22:01:22,2.1,14,32
NQ,SELL,1,16496.25,2022-01-03 22:05:45,2.1,15,30
NQ,SELL,1,16480.0,2022-01-03 22:05:45,2.1,16,34
NQ,BUY,1,16496.5,2022-01-03 22:05:52,2.1,17,36
NQ,BUY,1,16496.5,2022-01-03 22:05:52,2.1,18,40
NQ,SELL,1,16501.5,2022-01-03 22:21:20,2.1,19,37
NQ,SELL,1,16503.75,2022-01-03 22:21:45,2.1,20,41
NQ,BUY,1,16503.5,2022-01-03 22:21:50,2.1,21,44
NQ,BUY,1,16503.5,2022-01-03 22:21:50,2.1,22,48
NQ,BUY,1,16502.5,2022-01-03 22:54:00,2.1,1,57
NQ,BUY,1,16502.5,2022-01-03 22:54:00,2.1,2,61
NQ,SELL,1,16508.0,2022-01-03 23:20:55,2.1,3,58
NQ,SELL,1,16504.25,2022-01-03 23:22:30,2.1,4,63
NQ,BUY,1,16505.25,2022-01-03 23:22:35,2.1,5,65
NQ,BUY,1,16505.25,2022-01-03 23:22:35,2.1,6,69
NQ,SELL,1,16510.5,2022-01-03 23:24:30,2.1,7,66
NQ,SELL,1,16512.5,2022-01-03 23:24:55,2.1,8,70
NQ,BUY,1,16513.25,2022-01-03 23:25:00,2.1,9,73
NQ,BUY,1,16511.75,2022-01-03 23:25:00,2.1,10,77
NQ,BUY,1,16517.25,2022-01-03 23:40:00,2.1,1,86
NQ,BUY,1,16516.75,2022-01-03 23:40:00,2.1,2,90
NQ,SELL,1,16517.25,2022-01-03 23:44:10,2.1,3,88
NQ,BUY,1,16520.5,2022-01-03 23:50:00,2.1,1,99
NQ,BUY,1,16520.25,2022-01-03 23:50:00,2.1,2,103
NQ,SELL,1,16525.75,2022-01-03 23:54:20,2.1,3,100
NQ,SELL,1,16522.5,2022-01-04 00:02:55,2.1,4,105
NQ,BUY,1,16523.5,2022-01-04 00:03:00,2.1,5,107
NQ,BUY,1,16523.5,2022-01-04 00:03:00,2.1,6,111
NQ,BUY,1,16528.0,2022-01-04 00:12:00,2.1,1,120
NQ,BUY,1,16528.5,2022-01-04 00:12:00,2.1,2,124
NQ,SELL,1,16533.0,2022-01-04 00:24:35,2.1,3,121
NQ,SELL,1,16535.5,2022-01-04 00:29:50,2.1,4,125
NQ,BUY,1,16536.25,2022-01-04 00:30:00,2.1,5,129
NQ,BUY,1,16536.25,2022-01-04 00:30:00,2.1,6,133
NQ,SELL,1,16515.75,2022-01-04 00:51:20,2.1,7,131
NQ,SELL,1,16532.25,2022-01-04 00:51:20,2.1,8,135
NQ,BUY,1,16534.0,2022-01-04 00:52:00,2.1,9,137
NQ,BUY,1,16550.5,2022-01-04 00:52:00,2.1,10,141
NQ,SELL,1,16534.0,2022-01-04 00:58:05,2.1,11,139
NQ,SELL,1,16541.0,2022-01-04 01:09:05,2.1,12,142
NQ,BUY,1,16540.0,2022-01-04 01:10:00,2.1,13,145
NQ,BUY,1,16539.75,2022-01-04 01:10:00,2.1,14,149
NQ,SELL,1,16532.5,2022-01-04 01:15:35,2.1,15,147
NQ,SELL,1,16532.25,2022-01-04 01:15:35,2.1,16,151
NQ,BUY,1,15783.75,2022-01-05 22:00:05,2.1,1,155
NQ,BUY,1,15782.5,2022-01-05 22:00:05,2.1,2,159
NQ,SELL,1,15779.25,2022-01-05 22:00:46,2.1,3,157
NQ,SELL,1,15779.25,2022-01-05 22:00:46,2.1,4,161
NQ,BUY,1,15784.0,2022-01-05 22:02:00,2.1,5,163
NQ,BUY,1,15783.25,2022-01-05 22:02:00,2.1,6,167
NQ,SELL,1,15779.75,2022-01-05 22:02:20,2.1,7,165
NQ,SELL,1,15764.0,2022-01-05 22:02:20,2.1,8,169
NQ,BUY,1,15786.0,2022-01-05 22:04:00,2.1,9,171
NQ,BUY,1,15785.5,2022-01-05 22:04:00,2.1,10,175
NQ,SELL,1,15781.75,2022-01-05 22:04:55,2.1,11,173
NQ,SELL,1,15781.75,2022-01-05 22:04:55,2.1,12,177
NQ,BUY,1,15782.75,2022-01-05 22:06:00,2.1,13,179
NQ,BUY,1,15781.0,2022-01-05 22:06:00,2.1,14,183
